Date/Time,TOTAL WIND GENERATION  BASEPOINT (FORECAST) IN BPA CONTROL AREA (MW; SCADA 103349),TOTAL WIND GENERATION  IN BPA CONTROL AREA (MW; SCADA 79687),TOTAL BPA CONTROL AREA LOAD (MW; SCADA 45583),TOTAL HYDRO GENERATION (MW; SCADA 79682),TOTAL THERMAL GENERATION (MW; SCADA 79685),NET INTERCHANGE (MW; SCADA 45581),,,,,,,,
01/01/13 00:00,8,13,6568,8659,3178,5133,,,,,,,,
01/01/13 00:05,10,13,6562,8517,3135,4952,,,,,,,,
01/01/13 00:10,14,14,6576,8469,3095,4852,,,,,,,,
01/01/13 00:15,14,13,6554,8408,3088,4805,,,,,,,,
01/01/13 00:20,14,14,6561,8375,3081,4760,,,,,,,,
01/01/13 00:25,14,15,6522,8347,3096,4786,,,,,,,,
01/01/13 00:30,14,13,6488,8424,3081,4881,,,,,,,,
01/01/13 00:35,14,13,6512,8415,3092,4859,,,,,,,,
01/01/13 00:40,14,15,6499,8402,3100,4869,,,,,,,,
01/01/13 00:45,14,15,6481,8384,3095,4864,,,,,,,,
01/01/13 00:50,14,14,6453,8377,3095,4884,,,,,,,,
01/01/13 00:55,12,15,6442,8249,3093,4766,,,,,,,,
01/01/13 01:00,12,15,6433,8249,3089,4770,,,,,,,,
01/01/13 01:05,12,18,6426,8257,3088,4787,,,,,,,,
01/01/13 01:10,12,19,6429,8275,3085,4800,,,,,,,,
01/01/13 01:15,12,21,6385,8304,3090,4882,,,,,,,,
01/01/13 01:20,12,27,6406,8257,3080,4808,,,,,,,,
01/01/13 01:25,12,28,6398,8247,3073,4801,,,,,,,,
01/01/13 01:30,12,33,6377,8273,3065,4844,,,,,,,,
01/01/13 01:35,12,33,6353,8265,3068,4864,,,,,,,,
01/01/13 01:40,12,28,6379,8257,3059,4815,,,,,,,,
01/01/13 01:45,12,25,6350,8232,3076,4835,,,,,,,,
01/01/13 01:50,12,22,6349,8258,3077,4859,,,,,,,,
01/01/13 01:55,11,20,6354,8147,3082,4756,,,,,,,,
01/01/13 02:00,10,18,6351,8216,3086,4844,,,,,,,,
01/01/13 02:05,10,14,6377,8257,3091,4872,,,,,,,,
01/01/13 02:10,10,12,6321,8229,3088,4909,,,,,,,,
01/01/13 02:15,10,10,6358,8230,3096,4877,,,,,,,,
01/01/13 02:20,10,12,6359,8194,3093,4841,,,,,,,,
01/01/13 02:25,10,11,6373,8190,3091,4819,,,,,,,,
01/01/13 02:30,10,14,6367,8176,3086,4809,,,,,,,,
01/01/13 02:35,10,27,6319,8175,3088,4871,,,,,,,,
01/01/13 02:40,10,33,6377,8179,3076,4812,,,,,,,,
01/01/13 02:45,10,28,6355,8158,3093,4824,,,,,,,,
01/01/13 02:50,10,18,6347,8159,3083,4813,,,,,,,,
01/01/13 02:55,8,14,6355,8171,3084,4814,,,,,,,,
01/01/13 03:00,6,17,6389,8124,3084,4738,,,,,,,,
01/01/13 03:05,5,18,6395,8138,3086,4747,,,,,,,,
01/01/13 03:10,5,15,6421,8133,3083,4710,,,,,,,,
01/01/13 03:15,5,16,6417,8150,3086,4736,,,,,,,,
01/01/13 03:20,5,21,6422,8179,3082,4760,,,,,,,,
01/01/13 03:25,5,23,6441,8185,3084,4752,,,,,,,,
01/01/13 03:30,5,24,6429,8192,3086,4773,,,,,,,,
01/01/13 03:35,5,22,6397,8182,3082,4790,,,,,,,,
01/01/13 03:40,5,21,6435,8149,3087,4722,,,,,,,,
01/01/13 03:45,5,20,6432,8221,3081,4790,,,,,,,,
01/01/13 03:50,5,18,6474,8199,3083,4726,,,,,,,,
01/01/13 03:55,6,16,6515,8244,3083,4729,,,,,,,,
01/01/13 04:00,8,17,6512,8203,3080,4688,,,,,,,,
01/01/13 04:05,10,13,6496,8262,3085,4764,,,,,,,,
01/01/13 04:10,13,13,6546,8278,3068,4714,,,,,,,,
01/01/13 04:15,13,12,6556,8302,3069,4728,,,,,,,,
01/01/13 04:20,13,10,6599,8375,3070,4756,,,,,,,,
01/01/13 04:25,13,9,6554,8350,3064,4770,,,,,,,,
01/01/13 04:30,13,9,6573,8338,3064,4738,,,,,,,,
01/01/13 04:35,13,10,6627,8424,3065,4772,,,,,,,,
01/01/13 04:40,13,10,6654,8413,3064,4734,,,,,,,,
01/01/13 04:45,13,7,6683,8394,3065,4684,,,,,,,,
01/01/13 04:50,13,5,6691,8390,3065,4671,,,,,,,,
01/01/13 04:55,15,4,6709,8538,3075,4833,,,,,,,,
01/01/13 05:00,17,3,6737,8641,3065,4922,,,,,,,,
01/01/13 05:05,19,2,6803,8731,3063,4968,,,,,,,,
01/01/13 05:10,23,2,6805,8765,3062,5024,,,,,,,,
01/01/13 05:15,23,3,6865,8780,3062,4978,,,,,,,,
01/01/13 05:20,23,3,6833,8798,3063,5032,,,,,,,,
01/01/13 05:25,23,3,6911,8803,3056,4951,,,,,,,,
01/01/13 05:30,23,4,6938,8769,3060,4895,,,,,,,,
01/01/13 05:35,23,3,6911,8784,3061,4938,,,,,,,,
01/01/13 05:40,23,3,6966,8829,3063,4929,,,,,,,,
01/01/13 05:45,23,3,7010,8748,3061,4804,,,,,,,,
01/01/13 05:50,23,3,7050,8830,3066,4850,,,,,,,,
01/01/13 05:55,15,2,7055,9016,3082,5046,,,,,,,,
01/01/13 06:00,10,2,7115,9068,3105,5060,,,,,,,,
01/01/13 06:05,6,2,7166,9135,3134,5106,,,,,,,,
01/01/13 06:10,2,2,7175,9146,3144,5116,,,,,,,,
01/01/13 06:15,2,1,7212,9139,3151,5079,,,,,,,,
01/01/13 06:20,2,1,7212,9185,3158,5132,,,,,,,,
01/01/13 06:25,2,1,7232,9171,3157,5097,,,,,,,,
01/01/13 06:30,2,1,7255,9179,3161,5086,,,,,,,,
01/01/13 06:35,2,1,7253,9193,3160,5101,,,,,,,,
01/01/13 06:40,2,1,7292,9220,3154,5083,,,,,,,,
01/01/13 06:45,2,2,7318,9228,3164,5077,,,,,,,,
01/01/13 06:50,2,3,7339,9207,3166,5037,,,,,,,,
01/01/13 06:55,2,3,7344,9486,3155,5300,,,,,,,,
01/01/13 07:00,3,3,7374,9654,3161,5445,,,,,,,,
01/01/13 07:05,3,4,7398,9846,3162,5615,,,,,,,,
01/01/13 07:10,5,3,7426,10057,3155,5790,,,,,,,,
01/01/13 07:15,5,2,7472,10105,3156,5792,,,,,,,,
01/01/13 07:20,5,2,7472,10120,3160,5811,,,,,,,,
01/01/13 07:25,5,1,7530,10109,3153,5734,,,,,,,,
01/01/13 07:30,5,0,7541,10129,3161,5751,,,,,,,,
01/01/13 07:35,5,1,7586,10125,3157,5697,,,,,,,,
01/01/13 07:40,5,0,7580,10217,3155,5792,,,,,,,,
01/01/13 07:45,5,1,7641,10188,3149,5697,,,,,,,,
01/01/13 07:50,5,1,7655,10169,3157,5673,,,,,,,,
01/01/13 07:55,4,1,7678,10352,3161,5837,,,,,,,,
01/01/13 08:00,4,2,7675,10430,3161,5918,,,,,,,,
01/01/13 08:05,4,2,7695,10488,3169,5965,,,,,,,,
01/01/13 08:10,5,3,7705,10522,3181,6000,,,,,,,,
01/01/13 08:15,5,3,7720,10494,3177,5954,,,,,,,,
01/01/13 08:20,5,3,7775,10498,3172,5899,,,,,,,,
01/01/13 08:25,5,3,7747,10522,3168,5947,,,,,,,,
01/01/13 08:30,5,3,7766,10523,3172,5931,,,,,,,,
01/01/13 08:35,5,2,7782,10569,3172,5962,,,,,,,,
01/01/13 08:40,5,3,7833,10571,3171,5911,,,,,,,,
01/01/13 08:45,5,4,7869,10536,3172,5843,,,,,,,,
01/01/13 08:50,5,4,7891,10519,3171,5803,,,,,,,,
01/01/13 08:55,5,4,7901,10742,3176,6021,,,,,,,,
01/01/13 09:00,5,4,7905,10747,3176,6023,,,,,,,,
01/01/13 09:05,5,4,7950,10751,3186,5991,,,,,,,,
01/01/13 09:10,5,3,7919,10743,3190,6019,,,,,,,,
01/01/13 09:15,5,3,7954,10698,3194,5942,,,,,,,,
01/01/13 09:20,5,3,7937,10658,3188,5912,,,,,,,,
01/01/13 09:25,5,2,7972,10721,3189,5940,,,,,,,,
01/01/13 09:30,5,3,7958,10753,3185,5984,,,,,,,,
01/01/13 09:35,5,2,7960,10761,3185,5989,,,,,,,,
01/01/13 09:40,5,3,7951,10789,3187,6028,,,,,,,,
01/01/13 09:45,5,3,7963,10761,3196,5996,,,,,,,,
01/01/13 09:50,5,6,7963,10720,3188,5951,,,,,,,,
01/01/13 09:55,5,11,7986,10812,3175,6013,,,,,,,,
01/01/13 10:00,5,18,7949,10685,3173,5928,,,,,,,,
01/01/13 10:05,5,22,7978,10582,3154,5780,,,,,,,,
01/01/13 10:10,5,26,7962,10540,3146,5751,,,,,,,,
01/01/13 10:15,5,31,7999,10533,3145,5711,,,,,,,,
01/01/13 10:20,5,36,7969,10575,3134,5777,,,,,,,,
01/01/13 10:25,5,37,7997,10552,3135,5728,,,,,,,,
01/01/13 10:30,5,38,7970,10500,3138,5706,,,,,,,,
01/01/13 10:35,6,38,7965,10480,3124,5677,,,,,,,,
01/01/13 10:40,6,39,7941,10500,3131,5729,,,,,,,,
01/01/13 10:45,6,34,7892,10437,3125,5705,,,,,,,,
01/01/13 10:50,6,32,7916,10485,3127,5730,,,,,,,,
01/01/13 10:55,6,32,7881,10376,3143,5670,,,,,,,,
01/01/13 11:00,9,33,7906,10359,3136,5622,,,,,,,,
01/01/13 11:05,10,34,7910,10306,3145,5576,,,,,,,,
01/01/13 11:10,15,34,7876,10287,3137,5580,,,,,,,,
01/01/13 11:15,15,34,7835,10324,3138,5661,,,,,,,,
01/01/13 11:20,15,31,7824,10288,3142,5639,,,,,,,,
01/01/13 11:25,15,28,7816,10244,3142,5598,,,,,,,,
01/01/13 11:30,14,30,7791,10270,3149,5658,,,,,,,,
01/01/13 11:35,14,34,7790,10265,3143,5652,,,,,,,,
01/01/13 11:40,14,34,7761,10248,3148,5670,,,,,,,,
01/01/13 11:45,14,34,7756,10264,3147,5689,,,,,,,,
01/01/13 11:50,14,31,7737,10266,3143,5703,,,,,,,,
01/01/13 11:55,15,32,7676,10058,3147,5562,,,,,,,,
01/01/13 12:00,18,32,7683,10057,3153,5559,,,,,,,,
01/01/13 12:05,20,33,7656,10056,3152,5585,,,,,,,,
01/01/13 12:10,25,33,7659,10014,3149,5537,,,,,,,,
01/01/13 12:15,25,32,7657,10020,3156,5551,,,,,,,,
01/01/13 12:20,25,27,7580,10005,3157,5610,,,,,,,,
01/01/13 12:25,25,27,7591,9987,3162,5584,,,,,,,,
01/01/13 12:30,27,24,7575,9957,3161,5566,,,,,,,,
01/01/13 12:35,29,23,7524,9970,3164,5633,,,,,,,,
01/01/13 12:40,29,22,7478,9954,3169,5667,,,,,,,,
01/01/13 12:45,29,21,7484,9971,3162,5670,,,,,,,,
01/01/13 12:50,29,21,7474,10041,3158,5746,,,,,,,,
01/01/13 12:55,25,18,7480,9842,3162,5543,,,,,,,,
01/01/13 13:00,22,15,7414,9734,3158,5493,,,,,,,,
01/01/13 13:05,22,14,7378,9743,3149,5528,,,,,,,,
01/01/13 13:10,23,14,7372,9714,3150,5507,,,,,,,,
01/01/13 13:15,23,12,7348,9698,3152,5515,,,,,,,,
01/01/13 13:20,23,12,7376,9712,3154,5503,,,,,,,,
01/01/13 13:25,23,15,7329,9686,3148,5520,,,,,,,,
01/01/13 13:30,20,17,7321,9577,3141,5415,,,,,,,,
01/01/13 13:35,18,19,7309,9615,3140,5466,,,,,,,,
01/01/13 13:40,18,17,7303,9663,3142,5519,,,,,,,,
01/01/13 13:45,18,12,7234,9681,3139,5600,,,,,,,,
01/01/13 13:50,18,8,7286,9691,3156,5571,,,,,,,,
01/01/13 13:55,17,6,7262,9593,3154,5490,,,,,,,,
01/01/13 14:00,17,4,7241,9504,3161,5430,,,,,,,,
01/01/13 14:05,17,5,7262,9412,3164,5321,,,,,,,,
01/01/13 14:10,18,3,7241,9343,3170,5275,,,,,,,,
01/01/13 14:15,18,3,7241,9311,3167,5241,,,,,,,,
01/01/13 14:20,18,3,7225,9313,3164,5255,,,,,,,,
01/01/13 14:25,18,3,7202,9332,3168,5301,,,,,,,,
01/01/13 14:30,16,4,7208,9321,3172,5289,,,,,,,,
01/01/13 14:35,16,3,7215,9322,3168,5278,,,,,,,,
01/01/13 14:40,16,3,7232,9316,3170,5258,,,,,,,,
01/01/13 14:45,16,3,7194,9313,3168,5290,,,,,,,,
01/01/13 14:50,16,3,7217,9382,3169,5338,,,,,,,,
01/01/13 14:55,11,2,7190,9441,3157,5411,,,,,,,,
01/01/13 15:00,8,3,7208,9504,3162,5462,,,,,,,,
01/01/13 15:05,8,3,7191,9692,3155,5659,,,,,,,,
01/01/13 15:10,8,3,7223,9858,3163,5802,,,,,,,,
01/01/13 15:15,8,3,7203,9894,3169,5864,,,,,,,,
01/01/13 15:20,8,3,7242,9903,3169,5833,,,,,,,,
01/01/13 15:25,8,3,7219,9903,3165,5852,,,,,,,,
01/01/13 15:30,8,4,7266,9948,3168,5854,,,,,,,,
01/01/13 15:35,8,5,7252,9936,3167,5856,,,,,,,,
01/01/13 15:40,8,7,7284,9943,3162,5828,,,,,,,,
01/01/13 15:45,8,9,7323,9989,3165,5841,,,,,,,,
01/01/13 15:50,8,12,7335,9955,3162,5794,,,,,,,,
01/01/13 15:55,7,10,7382,10092,3158,5878,,,,,,,,
01/01/13 16:00,6,13,7395,10294,3171,6084,,,,,,,,
01/01/13 16:05,5,16,7446,10544,3164,6278,,,,,,,,
01/01/13 16:10,5,17,7512,10759,3156,6420,,,,,,,,
01/01/13 16:15,5,21,7502,10814,3162,6495,,,,,,,,
01/01/13 16:20,5,26,7591,10793,3165,6393,,,,,,,,
01/01/13 16:25,5,27,7609,10893,3162,6473,,,,,,,,
01/01/13 16:30,5,29,7705,10901,3166,6391,,,,,,,,
01/01/13 16:35,5,28,7717,10866,3154,6332,,,,,,,,
01/01/13 16:40,5,24,7777,10883,3161,6292,,,,,,,,
